OBJECTID,STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA,STATUS,DATE,LATDD,LONGDD,x,y
162047,19,000000000027321,1,2,1,00030,2,04,85,0,MISSOURI RIVER,NA,US 30,AT NEBRASKA STATE LINE,99.99,0,1,S001920030,NA,41.330401,96.054478,56,3,1,1,2,1991,2,0,4410,2022,5,12.2,0,0,0,1,1,1,1,5,1,15.9,101.2,A,1,5,4,3,5,2,2,15,12.2,101.5,604.4,0,0,12.2,13.2,99.99,N,0,N,0,0,6,6,6,7,N,1,61.2,1,36.7,6,6,N,5,8,7,NA,NA,0,1023,24,N,Y60,N,NA,722,NA,0,0,0,NA,317,50,S030 45055,0,N,2,NA,1,0,0,1,4,0,1,28,1,1,Y,5,4410,2043,NA,N,19,F,6,7978.08,ST,724,41.551114,-96.095772,-96.0957719997618,41.5511139999571
162048,19,000000000027350,1,2,1,00030,2,04,85,0,YOUNGS DITCH,NA,US 30,0.8 mi. E of SR K-45,99.99,6.568,1,S001920030,NA,41.330431,96.010144,61,3,1,1,2,1953,2,0,4410,2022,4,11.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,5,0,8.5,12.8,59.7,0,0,8.5,10.5,99.99,N,0,N,0,0,6,6,6,6,N,1,48.9,1,29.3,6,4,N,5,6,8,NA,NA,0,823,24,N,N,N,NA,NA,NA,0,0,NA,NA,,0,,0,N,2,NA,1,0,0,1,4,0,0,28,1,NA,Y,8,4410,2043,NA,N,19,F,6,626.85,ST,724,41.551197,-96.017067,-96.0170669999674,41.5511970000148
162072,19,000000000027701,1,3,1,00127,2,04,85,0,SPOONER DITCH,NA,IA 127,1.9 mi. W of Jct. IA 183,99.99,3.767,1,S001930127,NA,41.423967,96.000578,23,3,1,1,6,1990,2,0,1180,2022,5,9.8,0,0,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,0,2,0,9.8,3,6.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,7,8,37.9,8,29.2,7,N,N,5,6,8,NA,NA,0,923,24,N,N,N,NA,NA,NA,0,0,NA,NA,,0,,0,N,2,NA,0,0,0,N,N,N,N,16,0,NA,Y,8,1180,2043,NA,N,19,G,7,62.72,ST,724,41.711019,-96.001606,-96.001606000391,41.7110189997753
162092,19,000000000028010,1,4,1,00000,2,03,85,0,I-29,NA,SR F20,AT JCT. OF SR F20,99.99,0.311,0,,NA,41.480667,96.032103,0,3,1,1,7,1966,2,4,319,2022,5,10.4,0,0,0,1,1,1,1,5,N,0,0,A,6,1,5,2,0,0,4,0,14.4,21,66.8,0.5,0.5,9.1,11,99.99,H,5.11,H,3.6,7.2,6,7,7,N,N,1,65.9,1,39.2,7,6,5,5,N,4,NA,NA,0,422,24,N,N,N,NA,NA,NA,0,0,NA,NA,,0,,0,N,2,NA,0,0,0,1,4,0,0,6,0,NA,Y,N,319,2042,NA,N,19,F,6,734.8,ST,724,41.801853,-96.055842,-96.055842000367,41.801853000234
162093,19,000000000028021,1,4,1,00000,1,07,85,0,LITTLE SIOUX RIVER,NA,FM & AUSTIN AVE,081452304,99.99,28.429,0,,NA,41.483585,96.025408,32,3,2,2,7,1987,2,0,390,2022,5,11.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,2,0,0,3,0,9.1,29,88.7,0,0,9.1,10.1,99.99,N,0,N,0,0,7,8,7,6,N,1,62.7,1,37.6,7,6,N,5,7,8,NA,NA,0,1219,48,N,N,N,NA,NA,NA,0,0,0,NA,,0,,0,N,2,NA,0,0,0,1,1,0,0,34,0,NA,Y,8,390,2043,0,N,19,G,7,895.87,ST,724,41.809958,-96.048356,-96.0483560004396,41.8099579997403
162094,19,000000000028031,1,4,1,00000,1,07,85,0,MONONA-HARRISON DITCH,NA,FM & AUSTIN AVE,081451404,99.99,30.318,0,,NA,41.492989,96.033254,21,3,2,2,7,2004,2,0,390,2022,5,12.2,0,0,0,1,1,1,1,3,0,0,0,A,1,5,5,2,0,0,3,0,9.1,23.2,66.1,0,0,9.1,10.1,99.99,N,0,N,0,0,7,8,7,6,N,1,51.4,1,30.8,7,6,N,5,8,8,NA,NA,0,1221,24,N,N,N,NA,NA,NA,0,0,0,NA,,0,,0,N,2,NA,0,0,NA,1,1,0,1,34,0,NA,Y,8,390,2043,0,N,19,G,7,667.61,ST,724,41.824969,-96.059039,-96.0590390002587,41.8249690001227
162105,19,000000000028190,1,1,1,00029,1,04,85,0,UP RR & K-45,NA,NB I-29,1.9 MI. N OF SR F-50,99.99,135.304,1,S001910029,NA,41.382291,96.004602,2,3,1,1,1,1967,2,2,7600,2022,5,12.2,0,0,0,1,1,0,0,5,N,0,0,A,1,4,4,2,0,0,4,0,10,38.1,138.7,0,0,9.1,10.1,99.99,R,6.93,H,4.6,0,5,7,6,N,N,1,58.2,1,34.9,6,4,7,5,N,7,NA,NA,0,522,24,N,N,N,NA,NA,NA,0,0,NA,NA,,0,,1,R,1,NA,1,0,0,1,4,0,0,31,1,NA,Y,N,7600,2042,NA,N,19,F,5,1400.87,MM,303,41.639633,-96.013022,-96.013022000329,41.6396329999992
162106,19,000000000028200,1,1,1,00029,3,04,85,0,UP RR & K-45,NA,SB I-29,1.9 MI. N of SR F-50,99.99,109.059,0,,NA,41.382555,96.005071,2,3,1,1,1,1967,2,2,7600,2022,5,12.2,0,0,0,1,1,1,1,5,0,0,0,A,1,4,4,2,0,0,4,0,10.2,38.1,138.7,0,0,9.1,10.1,99.99,R,6.88,H,4.6,0,5,7,5,N,N,1,63.8,1,38.2,5,4,7,5,N,7,NA,NA,0,522,24,N,N,N,NA,NA,NA,0,0,NA,NA,,0,,1,L,1,NA,1,0,0,1,4,0,0,31,1,NA,Y,N,7600,2042,NA,N,19,F,5,1400.87,MM,303,41.639969,-96.013072,-96.0130719996594,41.63996900028
162107,19,000000000028210,1,1,1,00029,1,04,85,0,OLD SOLDIER RIVER DITCH,NA,NB I-29,4.0 mi. S of IA 127,99.99,137.385,1,S001910029,NA,41.391536,96.014092,2,3,1,1,1,1967,2,0,7600,2022,5,12.2,0,15,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,3,0,11.9,11.9,31.1,0,0,11.9,13,99.99,N,0,N,0,0,5,5,7,7,N,1,56.1,1,33.7,5,6,N,5,6,8,NA,NA,0,923,24,N,N,N,NA,NA,NA,0,0,NA,NA,,0,,1,R,1,NA,1,0,0,1,4,0,0,31,1,NA,Y,8,7600,2043,NA,N,19,F,5,404.3,MM,303,41.654408,-96.028042,-96.0280419998645,41.6544080001435
162108,19,000000000028220,1,1,1,00029,3,04,85,0,OLD SOLDIER RIVER DITCH,NA,SB I-29,4.0 MI. S OF JCT. IA 127,99.99,107.07,0,,NA,41.391605,96.014235,2,3,1,1,1,1967,2,0,7600,2022,5,12.2,0,15,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,3,0,11.9,11.9,31.1,0,0,11.9,12.9,99.99,N,0,N,0,0,5,5,7,7,N,1,57,1,34.2,5,6,N,5,6,8,NA,NA,0,923,24,N,N,N,NA,NA,NA,0,0,NA,NA,,0,,1,L,1,NA,1,0,0,1,4,0,0,31,1,NA,Y,8,7600,2043,NA,N,19,F,5,401.19,MM,303,41.654383,-96.028333,-96.0283330001176,41.6543830002579
