"OBJECTID","STATE_CODE_001","STRUCTURE_NUMBER_008","RECORD_TYPE_005A","ROUTE_PREFIX_005B","SERVICE_LEVEL_005C","ROUTE_NUMBER_005D","DIRECTION_005E","HIGHWAY_DISTRICT_002","COUNTY_CODE_003","PLACE_CODE_004","FEATURES_DESC_006A","CRITICAL_FACILITY_006B","FACILITY_CARRIED_007","LOCATION_009","MIN_VERT_CLR_010","KILOPOINT_011","BASE_HWY_NETWORK_012","LRS_INV_ROUTE_013A","SUBROUTE_NO_013B","LAT_016","LONG_017","DETOUR_KILOS_019","TOLL_020","MAINTENANCE_021","OWNER_022","FUNCTIONAL_CLASS_026","YEAR_BUILT_027","TRAFFIC_LANES_ON_028A","TRAFFIC_LANES_UND_028B","ADT_029","YEAR_ADT_030","DESIGN_LOAD_031","APPR_WIDTH_MT_032","MEDIAN_CODE_033","DEGREES_SKEW_034","STRUCTURE_FLARED_035","RAILINGS_036A","TRANSITIONS_036B","APPR_RAIL_036C","APPR_RAIL_END_036D","HISTORY_037","NAVIGATION_038","NAV_VERT_CLR_MT_039","NAV_HORR_CLR_MT_040","OPEN_CLOSED_POSTED_041","SERVICE_ON_042A","SERVICE_UND_042B","STRUCTURE_KIND_043A","STRUCTURE_TYPE_043B","APPR_KIND_044A","APPR_TYPE_044B","MAIN_UNIT_SPANS_045","APPR_SPANS_046","HORR_CLR_MT_047","MAX_SPAN_LEN_MT_048","STRUCTURE_LEN_MT_049","LEFT_CURB_MT_050A","RIGHT_CURB_MT_050B","ROADWAY_WIDTH_MT_051","DECK_WIDTH_MT_052","VERT_CLR_OVER_MT_053","VERT_CLR_UND_REF_054A","VERT_CLR_UND_054B","LAT_UND_REF_055A","LAT_UND_MT_055B","LEFT_LAT_UND_MT_056","DECK_COND_058","SUPERSTRUCTURE_COND_059","SUBSTRUCTURE_COND_060","CHANNEL_COND_061","CULVERT_COND_062","OPR_RATING_METH_063","OPERATING_RATING_064","INV_RATING_METH_065","INVENTORY_RATING_066","STRUCTURAL_EVAL_067","DECK_GEOMETRY_EVAL_068","UNDCLRENCE_EVAL_069","POSTING_EVAL_070","WATERWAY_EVAL_071","APPR_ROAD_EVAL_072","WORK_PROPOSED_075A","WORK_DONE_BY_075B","IMP_LEN_MT_076","DATE_OF_INSPECT_090","INSPECT_FREQ_MONTHS_091","FRACTURE_092A","UNDWATER_LOOK_SEE_092B","SPEC_INSPECT_092C","FRACTURE_LAST_DATE_093A","UNDWATER_LAST_DATE_093B","SPEC_LAST_DATE_093C","BRIDGE_IMP_COST_094","ROADWAY_IMP_COST_095","TOTAL_IMP_COST_096","YEAR_OF_IMP_097","OTHER_STATE_CODE_098A","OTHER_STATE_PCNT_098B","OTHR_STATE_STRUC_NO_099","STRAHNET_HIGHWAY_100","PARALLEL_STRUCTURE_101","TRAFFIC_DIRECTION_102","TEMP_STRUCTURE_103","HIGHWAY_SYSTEM_104","FEDERAL_LANDS_105","YEAR_RECONSTRUCTED_106","DECK_STRUCTURE_TYPE_107","SURFACE_TYPE_108A","MEMBRANE_TYPE_108B","DECK_PROTECTION_108C","PERCENT_ADT_TRUCK_109","NATIONAL_NETWORK_110","PIER_PROTECTION_111","BRIDGE_LEN_IND_112","SCOUR_CRITICAL_113","FUTURE_ADT_114","YEAR_OF_FUTURE_ADT_115","MIN_NAV_CLR_MT_116","FED_AGENCY","SUBMITTED_BY","BRIDGE_CONDITION","LOWEST_RATING","DECK_AREA","STATUS","DATE","LATDD","LONGDD","x","y"
160255,19,"000000000002640",1,5,1,"00000",2,"07",155,1642,"INDIAN CREEK",NA,"5TH AVE","000000000",99.99,3.46,0,"",NA,41.2569444444444,-95.8647222222222,2,3,4,4,16,1935,2,0,3013,2022,"0",9.8,0,0,0,"0","0","0","0",5,"0",0,0,"A",5,5,1,2,0,0,1,0,7.8,13.1,13.4,0,3.7,7.8,12.3,99.99,"N",0,"N",0,0,"4","4","4","8","N","1",36.7,"1",22,"4","2","N",5,"8",4,35,2,43,723,24,"N","N","N",NA,NA,NA,1,1,2,NA,"",0,"",0,"N",2,NA,0,0,0,"1","6","0","0",0,0,NA,"Y","8",3013,2043,0,"N",19,"P",4,164.82,"ST",724,41.257092,-95.864817,-95.8648169997273,41.2570919996845
160256,19,"000000000002651",1,5,1,"00000",2,"07",155,1642,"INDIAN CREEK",NA,"2ND AVE","000000000",99.99,3.713,0,"",NA,41.2594444444444,-95.8647222222222,3,3,4,4,17,1992,2,0,2223,2022,"5",9.1,0,0,0,"1","0","0","0",5,"0",0,0,"A",5,5,5,2,0,0,1,0,9.1,16.8,17.7,1.5,0,9.1,12,99.99,"N",0,"N",0,0,"6","7","8","7","N","1",47.7,"1",28.6,"7","4","N",5,"8",8,31,1,70,723,24,"N","N","N",NA,NA,NA,270,100,370,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","0",0,0,NA,"Y","8",2223,2042,0,"N",19,"F",6,212.4,"ST",724,41.259683,-95.864778,-95.8647780002676,41.2596830002256
160257,19,"000000000002658",1,5,1,"00000",1,"07",155,1642,"MOSQUITO CREEK",NA,"COLLEGE RD","000000000",99.99,1.608,0,"",NA,41.2688888888889,-95.8075,6,3,4,4,19,1980,2,0,644,2022,"5",10.7,0,30,0,"1","0","0","0",5,"0",0,0,"A",1,5,5,2,0,0,3,0,9.1,24.7,70.1,0,0,9.1,10.1,99.99,"N",0,"N",0,0,"6","8","7","6","N","1",52.1,"1",31.2,"7","6","N",5,"6",8,NA,NA,0,723,24,"N","N","N",NA,NA,NA,0,0,0,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","0",0,0,NA,"Y","8",644,2043,0,"N",19,"F",6,708.01,"ST",724,41.268953,-95.807664,-95.8076640002421,41.2689529997863
160258,19,"000000000002661",1,5,1,"00000",2,"07",155,1642,"INDIAN CREEK",NA,"ELLIOTT ST","000000000",99.99,1.138,0,"",NA,41.2791666666667,-95.8355555555555,2,3,4,4,17,1987,2,0,1534,2022,"5",7.9,0,0,0,"1","N","N","N",5,"0",0,0,"A",5,5,1,1,0,0,1,0,7.3,9.8,10.7,1.8,0,7.3,10.3,99.99,"N",0,"N",0,0,"6","6","6","6","N","1",99.9,"1",57.1,"6","4","N",5,"7",4,NA,NA,0,620,48,"N","N","N",NA,NA,NA,0,0,0,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","1",0,0,NA,"Y","8",1534,2043,0,"N",19,"F",6,110.21,"ST",724,41.279194,-95.83565,-95.8356499996192,41.2791939999444
160259,19,"000000000002671",1,5,1,"00000",2,"07",155,1642,"INDIAN CREEK",NA,"W ORCHARD AVE","000000000",99.99,0.174,0,"",NA,41.2802777777778,-95.8355555555555,2,3,4,4,19,1987,2,0,684,2022,"5",7.3,0,0,0,"1","N","N","N",5,"0",0,0,"A",1,5,1,1,0,0,1,0,7.3,9.8,10.7,1.8,0,7.3,10.3,99.99,"N",0,"N",0,0,"7","7","7","8","N","2",99.9,"2",57.1,"7","4","N",5,"7",4,NA,NA,0,620,48,"N","N","N",NA,NA,NA,0,0,0,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","1",0,0,NA,"Y","8",684,2043,0,"N",19,"G",7,110.21,"ST",724,41.280517,-95.835556,-95.8355559999079,41.2805169996861
160260,19,"000000000002681",1,5,1,"00000",2,"07",155,1642,"INDIAN CREEK",NA,"SYLVAN DR","000000000",99.99,0.576,0,"",NA,41.2841666666667,-95.8361111111111,199,3,4,4,19,1988,2,0,1002,2022,"4",7.3,0,0,0,"1","0","0","0",5,"0",0,0,"A",1,5,5,4,0,0,1,0,7.4,9.1,10.1,0,2.1,7.4,10.2,99.99,"N",0,"N",0,0,"7","7","7","6","N","0",44.5,"0",32.7,"7","4","N",5,"7",8,35,2,30,723,24,"N","N","N",NA,NA,NA,185,50,235,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","1",0,0,NA,"Y","8",1002,2043,0,"N",19,"G",7,103.02,"ST",724,41.284392,-95.836119,-95.8361190001476,41.2843920003018
160261,19,"000000000002684",1,5,1,"00000",1,"07",155,1642,"MOSQUITO CREEK",NA,"YELLOW POLE RD","000000000",99.99,0.444,0,"",NA,41.2880555555556,-95.7933333333333,5,3,4,4,19,2001,2,0,114,2022,"5",9.4,0,12,0,"1","0","0","0",5,"0",0,0,"A",1,5,5,2,0,0,3,0,9.1,20.7,58.5,0,0,9.1,10.1,99.99,"N",0,"N",0,0,"7","8","8","6","N","1",48.7,"1",29.2,"7","6","N",5,"8",6,35,2,181,723,24,"N","N","N",NA,NA,NA,400,150,550,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","1",0,0,NA,"Y","8",114,2043,0,"N",19,"G",7,590.85,"ST",724,41.288081,-95.793581,-95.7935810001419,41.288081000209
160262,19,"000000000002686",1,5,1,"00000",1,"07",155,1642,"MOSQUITO CREEK & RR",NA,"OLD IA 375","000000000",99.99,1.539,0,"",NA,41.2288888888889,-95.8266666666667,5,3,4,4,16,1996,2,0,6622,2022,"5",12.2,0,0,0,"1","1","1","1",5,"0",0,0,"A",1,7,4,3,0,0,4,0,10.4,43.3,174,0,0,10.4,11.3,99.99,"R",7.04,"R",11.7,0,"6","7","5","5","N","1",57.8,"1",34.6,"5","4","9",5,"8",8,NA,NA,0,723,24,"N","N","N",NA,NA,NA,0,0,0,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","1",9,0,NA,"Y","8",6622,2043,0,"N",19,"F",5,1966.2,"ST",724,41.229036,-95.826869,-95.8268690000563,41.2290360002603
160263,19,"000000000002695",1,5,1,"00000",1,"07",155,1642,"MOSQUITO CREEK",NA,"MADISON AVE","Madison Ave over Mosquito",99.99,0.018,0,"",NA,41.2422222222222,-95.8183333333333,2,3,4,4,16,1968,4,0,5557,2022,"5",23.5,2,0,0,"1","N","N","N",5,"0",0,0,"A",5,5,4,2,0,0,3,0,15.5,20.7,54.3,0,2.7,15.5,23.5,99.99,"N",0,"N",0,0,"7","7","6","6","N","1",60,"1",36,"6","4","N",5,"6",8,NA,NA,0,622,24,"N","N","N",NA,NA,NA,0,0,0,NA,"",0,"",0,"N",2,NA,0,0,1999,"1","1","0","1",0,0,NA,"Y","8",5557,2043,0,"N",19,"F",6,1276.05,"ST",724,41.242233,-95.818386,-95.8183860004192,41.2422330001882
160264,19,"000000000002700",1,5,1,"00000",1,"07",155,1642,"INDIAN CREEK",NA,"BENTON ST","000000000",99.99,0.097,0,"",NA,41.2647222222222,-95.8427777777778,2,3,4,4,19,1935,2,0,684,2022,"0",9.4,0,0,0,"0","0","0","0",5,"0",0,0,"P",1,5,1,2,0,0,1,0,9.1,8.5,8.5,1.8,3.7,9.1,17.7,99.99,"N",0,"N",0,0,"3","3","5","7","N","0",9,"0",9,"2","6","N",0,"7",6,31,1,28,723,12,"N","N","N",NA,NA,NA,100,20,120,NA,"",0,"",0,"N",2,NA,0,0,0,"1","6","0","0",0,0,NA,"Y","8",684,2043,0,"N",19,"P",3,150.45,"ST",724,41.264892,-95.842958,-95.8429580001697,41.264892000144
